url,price,area,floor,metro,time_to_metro_minutes,finish,renovation,house_type,parking,date
https://www.cian.ru/sale/flat/326325567/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,129000000,136.0,24 из 37,ЦСКА,11,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/325855923/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,26269500,41.5,21 из 27,Дубровка,12,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/326296744/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,260000000,102.0,6 из 12,Спортивная,6,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/324938356/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,23502400,39.7,4 из 12,Преображенская площадь,4,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/322662238/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,144999900,155.7,6 из 8,Кузнецкий мост,10,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/315424086/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,20107150,28.3,11 из 13,Аминьевская,24,-1,-1,3,0,2026-01-29
https://www.cian.ru/sale/flat/324447977/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,64000000,148.0,14 из 22,Бульвар Генерала Карбышева,-1,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/322885175/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,33475806,64.2,9 из 21,Петровский Парк,16,-1,-1,3,2,2026-01-29
https://www.cian.ru/sale/flat/324557137/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,77500000,120.0,6 из 15,Ломоносовский проспект,13,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/326083805/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,139000000,118.0,2 из 14,Улица 1905 года,5,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/322872348/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,96000000,103.0,13 из 16,Павелецкая,7,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323550005/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,99900000,245.9,8 из 8,Орехово,2,-1,2,0,0,2026-01-29
https://www.cian.ru/sale/flat/324656161/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,102000000,144.5,13 из 22,Спартак,13,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/321059837/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,109000000,82.0,7 из 17,Воробьёвы горы,12,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/318903182/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,110000000,210.0,4 из 6,Белорусская,7,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/323656322/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,126000000,126.0,3 из 6,Новокузнецкая,9,-1,-1,0,0,2026-01-29
https://www.cian.ru/sale/flat/315261338/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,129000000,131.0,5 из 10,Белорусская,4,-1,3,0,0,2026-01-29
https://www.cian.ru/sale/flat/320010704/?mlSearchSessionGuid=8001dfa26a06910b6675b8c1a3ad0cfe,130000000,150.0,4 из 8,Цветной бульвар,7,-1,3,0,0,2026-01-29
